Feature,Importance
duration,0.34421929629681386
balance,0.07491272664577724
age,0.07019548250301391
day,0.06555835710058627
campaign,0.033556325641395664
pdays,0.030902628596416157
poutcome_success,0.030452273658394802
contact_unknown,0.024991955394611413
previous,0.019607625895555012
housing_no,0.018040658767160263
contact_cellular,0.01668621487997768
housing_yes,0.016671203949676784
month_apr,0.012426574360220367
poutcome_unknown,0.012161351562068268
month_aug,0.011794285174947341
month_may,0.011398115882346216
month_mar,0.011175209492113286
month_oct,0.011044194033804817
month_jun,0.01014939899968582
month_jul,0.009845710080692172
marital_married,0.0090710762667538
education_secondary,0.008825861873364243
education_tertiary,0.008605099506745298
month_feb,0.00847012345107896
job_blue-collar,0.00837887764296496
marital_single,0.007835794121066927
month_nov,0.0077906531139027
job_technician,0.007671282666069761
job_management,0.007519666900013602
job_admin.,0.007206429780711285
loan_no,0.006616663856063861
loan_yes,0.0063584720985036935
poutcome_failure,0.006312268905857472
education_primary,0.005916993334914976
month_sep,0.005545466667654701
marital_divorced,0.005343875962259326
job_services,0.005110850632722779
month_jan,0.004999992378997799
contact_telephone,0.004685080807502199
job_retired,0.004586086739116498
education_unknown,0.003738774506185883
job_student,0.0035446671894791442
job_self-employed,0.003359171224655988
job_unemployed,0.0032297030684883044
job_entrepreneur,0.0029916512925927635
job_housemaid,0.0028346039564456846
poutcome_other,0.002545679646642715
month_dec,0.0021472016565020208
default_yes,0.0010863086884674877
default_no,0.0010625583909776313
job_unknown,0.0008194747580402088
